#Типы send функций,Значение (ETC - дргуое),Сообщение,Тип сообщения: DEBUG - для отладки
141,-30000,Неверное название. Невозможно открыть частную лавку.,#	使用できない文字が含まれている
141,-30001,Неверное название. Невозможно открыть частную лавку.,#		運営で禁止されている単語が含まれている
141,-30002,Слишком длинное имя лавки (DEBUG),DEBUG

#,142,Открыть лавку,
142,-1,Ошибка при открытии частной лавки.,#				一般エラー。DBエラーなどで使用

#,143,Закрыть лавку,
143,-1,Ошибка при закрытии частной лавки.,#				一般エラー。DBエラーなどで使用
143,-9000,Невозможно использовать частную лавку.,#		露店関連の操作を行える状態じゃない

#,144,Обмен.,# 取引開始,
144,-1,Ошибка при попытке начать обмен.,#			一般エラー。DBエラーなどで使用
144,-123,Персонаж не найден.,#		キャラが見付からない
144,-9000,Невозможно использовать частную лавку.,#		露店関連の操作を行える状態じゃない

#,145,Завершение обмена.,# 取引終了,
145,-1,Ошибка при завершении обмена.,#			一般エラー。DBエラーなどで使用
145,-9000,Невозможно использовать частную лавку.,#		露店関連の操作を行える状態じゃない

#,146,Покупка товара в частной лавке.,# アイテム購入,
146,-1,Ошибка при покупке предмета.,#			一般エラー。DBエラーなどで使用
146,-125,Недостаточно золота.,#			所持金不足
146,-1009,Инвентарь полон.,#		インベントリが一杯
146,-9000,Невозможно использовать частную лавку.,#		露店関連の操作を行える状態じゃない

#,160,Посылка.,# 小包関連

#,160,Отправка посылки.,# 小包閉じる結果.
160,ETC,"Посылка создана, но отправление невозможно."
161,ETC,Ошибка при удалении посылки.
162,ETC,Не удалось рассчитать сумму оплаты.
163,ETC,Не удалось отправить посылку.

#,170,Умения.,# スキル関連
170,-123,Неверная цель.,# 対象が見つからない
170,-2000,Невозможно изучить умение,# スキルを覚えていない、装備によって覚えたスキルを詠唱中にその装備を外すなど
170,-2001,Невозможно применить умение
170,-2002,Неверная цель.,# 実行する条件がありません
170,-2003,Использование невозможно. Несоответствие требованиям оружия.
170,-2004,Вне досягаемости.
170,-2005,Недостаточно ОМ.
170,-2006,Щит не надет. Невозможно использовать умение.
170,-2007,Аномальное состояние. Невозможно использовать умение.
170,-2008,Недоступно.
170,-2009,Необходимо спешиться для использования умения.
170,-2010,Зона перегружена. Действие недоступно.
170,-2011,Нельзя использовать здесь,# 街では使用できないもの
170,-2012,Достигнуто предельное количество ловушек. Невозможно установить.
170,-2013,Невозможно отменить.
170,-2014,Производится атака.
170,-2015,Достигнут предел развития умения.
170,-2016,Невозможно использовать на цели.,
170,-2018,Нельзя использовать здесь,
170,-2019,"Чтобы использовать, необходимо спешиться.",
170,-2020,Невозможно вызвать коня. Достигнут предел численности.,
170,-2021,Невозможно использовать. Недостаточно игроков гильдии в зоне.,
170,-2022,Цель потеряна. Нельзя применить умение.,
170,-2500,Для использования умения необходимо активировать блокирование.
170,-2501,Умение используется одновременно с применением невидимости.
170,-2502,Неверная цель.,# 自分には使用できない
170,-2503,Инвентарь полон.
170,-2504,"Самоисцеление невозможно, так как вы в аномальном состоянии."
170,-2505,Нельзя использовать здесь
170,-2506,Не может использоваться в замке.
170,-2507,Нет доступных мест для создания осадного орудия.
170,-2508,Может использоваться лишь атакующей стороной во время осады.
170,-2509,Достигнуто максимальное количество осадных орудий.
170,-2510,У вас нет прав на создание осадных орудий.
170,-2511,Невозможно воскресить.,# 蘇生することができません (todo)
170,-2512,Лошадь отсутствует.,# 対象の騎竜が存在しません (todo)
170,-2513,Невозможно призвать.,# 呼び出せる職業ではありません (todo)
170,-2800,Недостаточно предметов.
170,-2801,Недостаточно стрел.
170,-2802,Недостаточно арбалетных стрел.
170,-2803,Недостаточно ловушек.
170,-2804,Недостаточно ядовитого зелья.
170,-2805,Невозможно использовать. Недостаточный разбег.
170,-2806,Недостаточно пуль,
170,-8000,Цель вне радиуса атаки.
170,-8001,Цель уже мертва.
170,-8002,Атака перезаряжается.
170,-8003,Время перезарядки не истекло.
170,-8004,Необходимо активировать атаку.
170,-8005,Закончились боеприпасы.
170,-8006,Оцепенение. Движение невозможно.
170,-8007,Выбрана неверная цель.
170,-8008,Активировано блокирование. Невозможно произвести действие.
170,-8009,Оружие не используется. Невозможно использование умения.
170,-8010,Неверная цель.,# 陣営が不正な場合
170,-8011,Недостаточно предметов. Использование невозможно.
170,-8012,Вне досягаемости.
170,-8013,Аномальное состояние. Атака невозможна.
170,-8014,Необходимо спешиться для использования оборудования.
170,-8015,Снаряжение было изменено во время перезарядки атаки.
170,-8018,Не может использоваться при управлении осадным орудием.
170,-10000,Не удалось создать осадное орудие.


#,180,Получение предметов.,# 課金アイテム取得
180,-1,Ошибка при получении предмета.,#			一般エラー。DBエラーなどで使用
180,-1002,Предмет в неправильном положении.,#		アイテム位置が不正

#,190,Атака.,# 攻撃開始
#190,-8001,Объект мертв, действие невозможно.,#対象は既に死んでいます,# 対象が死んでいて操作を行えない
190,-2801,Недостаточно стрел.,
190,-2802,Недостаточно арбалетных стрел.,
190,-2803,Недостаточно ловушек.,
190,-2804,Недостаточно ядовитого зелья,
190,-2806,Недостаточно пуль,
190,-8005,Закончились боеприпасы.,#		弾(弓など打ち出すもの)がない
190,-8012,Вне досягаемости.,# 射程が足りない

#,200,Гильдия.,#クラン関連
200,-123,Невозможно найти персонажа.,
200,-12000,"Текущие условия не позволяют производить действия, связанные с гильдией.",
200,-12001,Это название уже используется.,
200,-12002,Неверное имя гильдии.,
200,-12003,Вы уже состоите в гильдии.,
200,-12004,Достигнуто предельное количество игроков в гильдии.
200,-12005,Вы не состоите в гильдии.,
200,-12006,У вас нет права приглашать игроков в гильдию.,
200,-12007,Вы не глава гильдии.,
200,-12008,Невозможно расформировать гильдию. В гильдии еще остались игроки.,
200,-12009,Не гражданин нации.,
200,-12010,Другая нация.,
200,-12011,Лидеры не могут быть исключены.,
200,-12050,Нельзя использовать во время осады.,

#,220,Кулон.,#トークエッグ関連
220,-1011,Предмет находится в частной лавке и не может быть использован.,
220,-1012,"Недоступно, поскольку срок действия расширенного инвентаря истек",
220,-16000,Не связано с кулоном.,
220,-16001,Это не материал для изготовления кулона.,
220,-16002,Имя уже используется.,
220,-16003,Неверное имя кулона,
220,-16004,Достигнуто предельное количество игроков.,
220,-16005,Кулона не существует.,
220,-16006,Кулон уже имеется.,


#,221,Снятие кулона.,# トークエッグ装備解除.
221,0,Достигнуто предельное количество игроков в группе. Кулон не используется.,
221,1,Функция переговорного кулона отключена. Кулон не используется.,


#,230,Профиль игрока.,# プロフィール関連
230,ETC,Не удалось обновить профиль.,

#,240,Торговля с НПС.,# 取引NPC関連
240,-1,Ошибка при запросе на сделку.,
240,-1009,Инвентарь полон. Обмен невозможен.,
240,-17000,Невозможно совершить сделку в текущем состоянии.,
240,-17001,Недействительная сделка.,
240,-17002,Обмен невозможен.,

240,-1350,Невозможно совершить покупку.,# 買い物できる状態じゃない
240,-1351,Изучение невозможно.,# 習得できない
240,-1351,Недостаточно очков гильдии.,# cpが足りない



#,250,Души.,# 魂関連
250,-1005,Предмет используется.,
250,-11100,Невозможно извлечь в текущем состоянии.,
250,-11101,Неверный слот души.,
250,-11102,Нет доступных слотов.,
250,-11103,Недостаточно золота.,
250,-11104,Не является предметом поддержки.,
250,-11120,Невозможно присоединить к снаряжению.,
250,-11121,Нет свободных слотов души.,

#,260,Черный список.,# ブラックリスト関連
260,-1,Ошибка черного списка.,
260,-18000,Черный список полон.,
260,-18001,Уже зарегистрирован.,
260,-18002,Неверная настройка.,


#,270,Ошибки обучения.,# 鍛錬関連エラー
270,-1,Ошибка.,

#,280,Портал.,# メモリアライズメッセージ
280,ETC,Сохранение невозможно.,
#,281,Портал
281,ETC,Ошибка портала.,
281,-2018,Нельзя использовать на этой карте.,

#,290,Ошибка записи на осады.,# 攻城戦参加登録エラー
290,-1400,Записей не найдено.,
290,-1401,"Недостаточно золота, регистрация невозможна.",
290,-1450,Записей не найдено.,

#,300,Ошибка создания предмета.,# 生産エラー
300,-1000,Неверный идентификатор производства.,# 不正な生産ID,
300,-1002,Недостаточно материала.,
300,-1003,Неверный предмет поддержки.,# 不正なサポートアイテム,
300,-1004,Недостаточный уровень производства.,# 生産レベルが不足している,
300,-1005,Недостаточно золота.,
300,-1006,Невозможно использовать предметы с прилавка.,# 露店に出品中のアイテムは使用できません,
300,-1007,Инвентарь полон.,
300,-1008,Шанс изготовления 0.,# 生産レベルに0が設定されている,
300,-1100,Не готово для изготовления.,# 生産関連の操作を行える状態じゃない,
300,-2000,Изготовление успешно.,# 既に取得済み生産ID,
300,-2001,Изготовление провалено.,# 取得していない生産ID,

#,310,Доминион.,# 領土侵略戦
310,-1,Ошибка использования предмета.,#アイテムの使用エラー

#,320,Доска объявлений.

#,330,Настройка предметов.,#アイテムオプション

#,340,Хранилище гильдии.,#クラン倉庫
340,-1,Ошибка хранилища гильдий.,
340,-1022,Хранилище гильдий отсутствует.,
340,-14000,Операция недоступна в данный момент.,

#,350,Ошибки покрытыя оборудования.,# コーティング関連エラー
350,-1,Ошибка предмета.,# アイテム設定エラー,
350,-11000,Операция невозможна.,#  操作が不可能な状態です,
350,-11001,Оборудование не соответствует требованиям,# その装備をセットする事はできません,
350,-11002,Оборудование не может быть усилено.,# その装備をコーティングする事はできません,
350,-11008,Оборудование не усилено.,# その装備はコーティングされていません,

#,420,Арена
#,420,Создание зала
420,-30000,Использованы запрещённые символы.,# 使用できない文字が含まれています
420,-30001,Использованы запрещённые слова.,# 禁止語句が使用されています
420,-33000,Зал не существует.,# ルームが存在しません,
420,-33001,Операция невозможна.,# 操作が不可能な状態です,
420,-33002,Неверный пароль.,# パスワードが違います,
420,-33003,Неавторизован.,# 権限がありません,
420,-33004,Вы уже в зале.,# 既に参加しています,
420,-33005,Персонажа не существует.,# 存在しないキャラクターです,
420,-33006,Комната заполнена.,# ルームが満室です,
420,-33012,Недопустимая операция.,# 無効な操作です,

#,421,
421,-33000,Зал не существует.,# ルームが存在しません,
421,-33012,Недопустимая операция.,# 無効な操作です,

#,422,
422,-33000,Зал не существует.,# ルームが存在しません,
422,-33012,Недопустимая операция.,# 無効な操作です,

#,423,Вход в зал Арены.,# ルーム入場
423,-33000,Зал не существует.,# ルームが存在しません,
423,-33001,Операция невозможна.,# 操作が不可能な状態です,
423,-33002,Неверный пароль.,# パスワードが違います,
423,-33004,Вы уже находитесь в зале.,# 既に参加しています,
423,-33007,Зал заполнен.,# そのルームは満員です,
423,-33010,Команда заполнена.,# チームに空きがありません
423,-33011,Даннаое место уже занято.,# その場所には別のユーザーがいます,
423,-33012,Неверная операция.,# 無効な操作です,

#,424,Настройка зала.,# ルーム内動作
424,-33000,Комнаты не существует.,# ルームが存在しません,
424,-33001,Операция невозможна.,# 操作が不可能な状態です,
424,-33003,Неавторизован.,# 権限がありません,
424,-33005,Персонаж не существует.,# 存在しないキャラクターです,
424,-33010,Полная команда.,# チームに空きがありません,
424,-33011,В этом месте находится другой персонаж.,# その場所には別のユーザーがいます,
424,-33012,Недопустимая команда.,# 無効な操作です,
424,-33013,"Пожалуйста, завершите другие действия.",# 他の操作を終了させてください,

#,425,Битва.,# キック
425,-33000,Зал не существует.,# ルームが存在しません,
425,-33001,Операция невозможна.,# 操作が不可能な状態です,
425,-33003,Неавторизован.,# 権限がありません,
425,-33005,Персонаж не существует.,# 存在しないキャラクターです,
425,-33011,В этом месте находится другой персонаж.,# その場所には別のユーザーがいます,
425,-33012,Неверная операция.,# 無効な操作です,

#,426,Битва началась.,# ルーム戦闘開始
426,-1,Невозможно начать бой.,# 戦闘開始する事ができません,
426,-33000,Комната не существует.,# ルームが存在しません,
426,-33001,Операция невозможна.,# 操作が不可能な状態です,
426,-33003,Неавторизован.,# 権限がありません,
426,-33008,Ожидание готовности участников.,# 全員の準備が完了していません,
426,-33009,Нехватает участников.,# 参加人数が足りていないチームがあります,
426,-33012,Недопустимая операция.,# 無効な操作です,
426,-33013,"Пожалуйста, завершите другие действия.",# 他の操作を終了させてください,

#,427,
427,-33000,Зал не существует.,# ルームが存在しません,
427,-33012,Недопустимая операция.,# 無効な操作です,

#,428,
428,-33000,Зал не существует.,# ルームが存在しません,
428,-33012,Недопустимая операция.,# 無効な操作です,

#,429,
429,-33000,Зал не существует.,#ルームが存在しません,
429,-33012,Недопустимая операция.,# 無効な操作です,

#,430,
430,-33300,Невозможно начать битву. Противник отсутствует.,# 戦闘開始前に相手が居なくなったため、無効試合となりました,

#,431,Режим наблюдателя.,# 観戦モード
431,-33000,Зал не существует.,# ルームが存在しません,
431,-33100,В данный момент невозможно войти в зал.,# 現在、そのルームには入る事ができません,
431,-33101,Наблюдение недоступно в данном зале.,# このルームは観戦できません,
431,-33004,Вы уже находитесь в другом зале.,# 他のルームに参加中です,

#,440,
440,-1,Операция недоступна в данный момент.,# 現在、その操作は行えません,
440,-123,Персонаж не найден.,# キャラが見つかりません,
440,-12000,В данный момент операции с гильдией недоступны.,# 現在、クラン関連の操作は行える状態ではありません,
440,-12001,Название гильдии уже используется.,#  既に使用されているクラン名です,
440,-12002,Неверное имя гильдии.,# 不正なクラン名です,
440,-12003,Вы уже состоите в гильдии.,# 既にクランに所属しています,
440,-12004,Достигнуто максимальное кол-во участников в гильдии.,# メンバーが定員に達しています.
440,-12005,Персонаж не состоит в гильдии.,# クランに所属していません,
440,-12006,У вас нет прав для приглашения в гильдию.,# クランに招待する権限がありません,
440,-12007,Вы не являетесь главой гильдии.,# リーダーではありません,
440,-12008,"Невозможно распустить гильдию, так как есть ещё участники.",# まだメンバーが存在している為、解散できません,
440,-12009,Персонаж не вступил в нацию.,# 国家に所属していません,
440,-12010,Другая нация.,# 異なる国家です,
440,-12011,Глава гильдии не может быть исключен.,# リーダーは除名できません,
440,-12050,Данная операция недоступна во время осад.,# 攻城戦中には行えなません,
440,-36000,Персонаж не существует.,# 存在しないキャラクターです,
440,-36001,Персонаж не состоит в гильдии.,# クランに所属していません,
440,-36002,Указанная страница не существует.,# 指定したページが存在しません,
440,-36003,Сообщение было удалено.,# 投稿を削除されています,
440,-36004,Другая нация.,# 異なる国家です,
440,-36005,Недостаточно прав.,# 操作できる権限がありません,
440,-36006,Вы не являетесь главой гильдии.,# リーダーではありません,
440,-36100,Достигнут лимит игроков на регистрацию.,# 満員の為、登録を行う事ができません,
440,-36101,Вы уже подали заявку на вступление в другую гильдию.,# 既に他のクランへの加入申請を行っています,
440,-36102,Ваша заявка на вступление в гильдию уже одобрена.,# 既にクランへの加入申請を行っています,
440,-36103,Персонаж уже состоит в гильдии.,# 既にクランに所属しています,
440,-36104,Запись удалена.,# 投稿を削除されています,
440,-36105,Участники гильдии должны принадлежать к вашей нации.,# クランメンバーは同じ国家に所属している必要があります,
440,-36106,Невозможно применить.,# 申請をしていません,
440,-36107,Запись не опубликована.,# 掲載を行っていません,
